gid	n_mu	mid	sids	n_mu_p	fam	fam_size	fam_idx	fam_idx_size	tf	gid_W22	map_type	ttype	impact	eff
Zm00001d028294	1	mu1082864	UFMu-10001	1	NA	NA	NA	NA	FALSE	Zm00004b000849	One-to-One	mRNA	moderate	missense_variant
Zm00001d028298	2	mu1051776|mu1089069	UFMu-06617|UFMu-12061	2	NA	NA	NA	NA	FALSE	Zm00004b000855	One-to-One	mRNA	moderate	missense_variant
Zm00001d028311	1	mu1004348	UFMu-00002	1	NA	NA	NA	NA	FALSE	Zm00004b000863	One-to-One	mRNA	no_change	NA
Zm00001d028317	7	mu1043952|mu1046637|mu1046638|mu1051812|mu1058687|mu1058688|mu1070769	UFMu-05033|UFMu-06413|UFMu-06514|UFMu-06637|UFMu-08172|UFMu-08027|UFMu-02503	>=3	NA	NA	NA	NA	FALSE	Zm00004b000867	One-to-One	mRNA	no_change	NA
Zm00001d028337	1	mu1089110	UFMu-11279	1	NA	NA	NA	NA	FALSE	Zm00004b000883	One-to-One	mRNA	no_change	NA
Zm00001d028339	1	mu1048158	UFMu-06175	1	NA	NA	NA	NA	FALSE	Zm00004b000885	One-to-One	mRNA	no_change	NA
Zm00001d028351	1	mu1066007	UFMu-08587	1	NA	NA	NA	NA	FALSE	Zm00004b000893	One-to-One	mRNA	no_change	NA
Zm00001d028352	1	mu1051814	UFMu-06893	1	NA	NA	NA	NA	FALSE	Zm00004b000894	One-to-One	mRNA	no_change	NA
Zm00001d028361	1	mu1084296	UFMu-10309	1	C2H2	132	75	75/132	TRUE	Zm00004b000903	One-to-One	mRNA	no_change	NA
Zm00001d028362	1	mu1094262	UFMu-11258	1	NA	NA	NA	NA	FALSE	Zm00004b000905	One-to-One	mRNA	low	synonymous_variant
Zm00001d028366	2	mu1005986|mu1060957	UFMu-00422|UFMu-07844	2	NA	NA	NA	NA	FALSE	Zm00004b000908	One-to-One	mRNA	moderate	missense_variant
Zm00001d028368	1	mu1031973	UFMu-02875,UFMu-03482	1	NA	NA	NA	NA	FALSE	Zm00004b000910	One-to-One	mRNA	high	splice_donor_variant
Zm00001d028369	1	mu1043944	UFMu-05001	1	NA	NA	NA	NA	FALSE	Zm00004b000911	One-to-One	mRNA	moderate	missense_variant
Zm00001d028370	4	mu1013645|mu1051306|mu1066008|mu1084502	UFMu-01447|UFMu-06526|UFMu-08477|UFMu-10515	>=3	NA	NA	NA	NA	FALSE	Zm00004b000912	One-to-One	mRNA	moderate	missense_variant
Zm00001d028375	1	mu1079215	UFMu-09281	1	NA	NA	NA	NA	FALSE	Zm00004b000918	One-to-One	mRNA	modifier	3_prime_UTR_variant
Zm00001d028377	1	mu1079216	UFMu-09287	1	NA	NA	NA	NA	FALSE	Zm00004b000919	One-to-One	mRNA	modifier	intron_variant
Zm00001d028391	2	mu1046645|mu1089121	UFMu-06384|UFMu-12922	2	NA	NA	NA	NA	FALSE	Zm00004b000931	One-to-One	mRNA	moderate	missense_variant
Zm00001d028392	1	mu1013649	UFMu-01790	1	NA	NA	NA	NA	FALSE	Zm00004b000932	One-to-One	mRNA	low	splice_region_variant
Zm00001d028397	2	mu1013651|mu1089124	UFMu-02205|UFMu-13424	2	NA	NA	NA	NA	FALSE	Zm00004b000937	One-to-Many	mRNA	moderate	missense_variant
Zm00001d028400	1	mu1030657	UFMu-02858	1	NA	NA	NA	NA	FALSE	Zm00004b000942	One-to-One	mRNA	non-syntenic	frameshift_variant
Zm00001d028404	1	mu1055304	UFMu-07318	1	NA	NA	NA	NA	FALSE	Zm00004b000944	One-to-One	mRNA	no_change	NA
Zm00001d028414	1	mu1055308	UFMu-07431	1	NA	NA	NA	NA	FALSE	Zm00004b000953	One-to-One	mRNA	high	frameshift_variant
Zm00001d028415	1	mu1084504	UFMu-10404	1	NA	NA	NA	NA	FALSE	Zm00004b000954	One-to-One	mRNA	no_change	NA
Zm00001d028416	1	mu1070084	UFMu-02888	1	NA	NA	NA	NA	FALSE	Zm00004b000955	One-to-One	mRNA	high	splice_donor_variant
Zm00001d028417	1	mu1089131	UFMu-11358	1	NA	NA	NA	NA	FALSE	Zm00004b000956	One-to-One	mRNA	moderate	disruptive_inframe_deletion
Zm00001d028422	1	mu1037375	UFMu-03724	1	NA	NA	NA	NA	FALSE	Zm00004b000961	One-to-One	mRNA	moderate	missense_variant
Zm00001d028426	1	mu1085608	UFMu-10844	1	NA	NA	NA	NA	FALSE	Zm00004b000965	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d028427	4	mu1017994|mu1022752|mu1041924|mu1080578	UFMu-00882,UFMu-03624,UFMu-03822,UFMu-05059,UFMu-05857|UFMu-02201|UFMu-04757|UFMu-09468	>=3	NA	NA	NA	NA	FALSE	Zm00004b000966	One-to-One	mRNA	moderate	missense_variant
Zm00001d028434	1	mu1065248	UFMu-00751,UFMu-05788	1	NA	NA	NA	NA	FALSE	Zm00004b000972	One-to-One	mRNA	no_change	NA
Zm00001d028439	1	mu1037378	UFMu-03749	1	NA	NA	NA	NA	FALSE	Zm00004b000976	One-to-One	mRNA	moderate	missense_variant
Zm00001d028451	1	mu1037379	UFMu-03766	1	NA	NA	NA	NA	FALSE	Zm00004b000986	One-to-One	mRNA	moderate	missense_variant
Zm00001d028463	2	mu1058700|mu1080582	UFMu-07980|UFMu-09504	2	NA	NA	NA	NA	FALSE	Zm00004b001009	One-to-One	mRNA	moderate	missense_variant
Zm00001d028474	2	mu1055312|mu1075352	UFMu-07247|UFMu-05864	2	NA	NA	NA	NA	FALSE	Zm00004b001000	One-to-One	mRNA	high	frameshift_variant
Zm00001d028482	1	mu1085610	UFMu-10958	1	NA	NA	NA	NA	FALSE	Zm00004b000989	One-to-One	mRNA	low	synonymous_variant
Zm00001d028490	1	mu1087626	UFMu-10639	1	NA	NA	NA	NA	FALSE	Zm00004b001021	One-to-One	mRNA	modifier	5_prime_UTR_variant
Zm00001d028493	1	mu1066023	UFMu-08454	1	NA	NA	NA	NA	FALSE	Zm00004b001024	One-to-One	mRNA	low	synonymous_variant
Zm00001d028513	1	mu1041923	UFMu-04794	1	NA	NA	NA	NA	FALSE	Zm00004b001040	One-to-One	mRNA	low	synonymous_variant
Zm00001d028514	2	mu1037389|mu1069104	UFMu-03865|UFMu-08477	2	NA	NA	NA	NA	FALSE	Zm00004b001041	One-to-One	mRNA	moderate	missense_variant
Zm00001d028523	1	mu1067468	UFMu-08802	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d028526	1	mu1013665	UFMu-02190	1	GRAS	81	33	33/81	TRUE	Zm00004b001046	One-to-One	mRNA	moderate	missense_variant
Zm00001d028528	3	mu1013664|mu1080584|mu1087627	UFMu-01905|UFMu-09430|UFMu-10955	>=3	NA	NA	NA	NA	FALSE	Zm00004b001048	One-to-One	mRNA	moderate	missense_variant
Zm00001d028529	1	mu1080585	UFMu-09456	1	NA	NA	NA	NA	FALSE	Zm00004b001049	One-to-One	mRNA	modifier	3_prime_UTR_variant
Zm00001d028533	4	mu1006857|mu1035784|mu1035784|mu1046662	UFMu-00348|UFMu-03530,UFMu-09501|UFMu-05692|UFMu-06406	>=3	NA	NA	NA	NA	FALSE	Zm00004b001052	One-to-One	mRNA	no_change	NA
Zm00001d028536	1	mu1035369	UFMu-03171	1	NA	NA	NA	NA	FALSE	Zm00004b001056	One-to-One	mRNA	low	synonymous_variant
Zm00001d028538	1	mu1043932	UFMu-05001	1	NA	NA	NA	NA	FALSE	Zm00004b001058	One-to-One	mRNA	high	stop_gained
Zm00001d028539	2	mu1013667|mu1058703	UFMu-02112|UFMu-08182	2	NA	NA	NA	NA	FALSE	Zm00004b001060	One-to-One	mRNA	modifier	3_prime_UTR_variant
Zm00001d028543	3	mu1035407|mu1046664|mu1089152	UFMu-03480|UFMu-06212,UFMu-07135|UFMu-13487	>=3	NA	NA	NA	NA	FALSE	Zm00004b001065	One-to-One	mRNA	low	synonymous_variant
Zm00001d028549	1	mu1058704	UFMu-07907	1	NA	NA	NA	NA	FALSE	Zm00004b001069	One-to-One	mRNA	modifier	intron_variant
Zm00001d028550	1	mu1034765	UFMu-03485	1	NA	NA	NA	NA	FALSE	Zm00004b001070	One-to-One	mRNA	modifier	5_prime_UTR_variant
Zm00001d028554	2	mu1018842|mu1066030	UFMu-00626|UFMu-08608	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	high	frameshift_variant
Zm00001d028555	1	mu1040635	UFMu-04229	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	missense_variant
Zm00001d028556	1	mu1018842	UFMu-00626	1	NA	NA	NA	NA	FALSE	Zm00004b001071	One-to-One	mRNA	non-syntenic	NA
Zm00001d028557	1	mu1040635	UFMu-04229	1	NA	NA	NA	NA	FALSE	Zm00004b001072	One-to-One	mRNA	non-syntenic	NA
Zm00001d028567	3	mu1040637|mu1051831|mu1066032	UFMu-04499|UFMu-06719|UFMu-08280	>=3	NA	NA	NA	NA	FALSE	Zm00004b001081	One-to-One	mRNA	high	frameshift_variant
Zm00001d028572	1	mu1076085	UFMu-09217	1	NA	NA	NA	NA	FALSE	Zm00004b001086	One-to-One	mRNA	moderate	missense_variant
Zm00001d028574	3	mu1037402|mu1051832|mu1082893	UFMu-03703|UFMu-06719|UFMu-10378	>=3	NA	NA	NA	NA	FALSE	Zm00004b001087	One-to-One	mRNA	moderate	missense_variant
Zm00001d028575	3	mu1030052|mu1043928|mu1051833	UFMu-02920|UFMu-05301|UFMu-06772	>=3	NA	NA	NA	NA	FALSE	Zm00004b001089	One-to-One	mRNA	low	splice_region_variant
Zm00001d028587	1	mu1066034	UFMu-08803	1	NA	NA	NA	NA	FALSE	Zm00004b001101	One-to-One	mRNA	moderate	missense_variant
Zm00001d028591	1	mu1089157	UFMu-12117	1	NA	NA	NA	NA	FALSE	Zm00004b001104	One-to-One	mRNA	moderate	missense_variant
Zm00001d028596	1	mu1084510	UFMu-10539	1	NA	NA	NA	NA	FALSE	Zm00004b001106	One-to-One	mRNA	moderate	missense_variant
Zm00001d028608	3	mu1013674|mu1013674|mu1076087	UFMu-01867|UFMu-06788|UFMu-09254	>=3	NA	NA	NA	NA	FALSE	Zm00004b001117	One-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d028611	2	mu1018987|mu1059728	UFMu-00688|UFMu-07964	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	transcript_ablation
Zm00001d028613	2	mu1021780|mu1055333	UFMu-01386|UFMu-07177	2	NA	NA	NA	NA	FALSE	Zm00004b001120	One-to-One	mRNA	low	synonymous_variant
Zm00001d028616	2	mu1018824|mu1079224	UFMu-00679|UFMu-09139	2	NA	NA	NA	NA	FALSE	Zm00004b001122	One-to-One	mRNA	low	splice_region_variant
Zm00001d028618	1	mu1027583	UFMu-04767	1	NA	NA	NA	NA	FALSE	Zm00004b001123	One-to-One	mRNA	modifier	intron_variant
Zm00001d028643	2	mu1082895|mu1085622	UFMu-10381|UFMu-10749	2	NA	NA	NA	NA	FALSE	Zm00004b001134	One-to-One	mRNA	moderate	missense_variant
Zm00001d028649	1	mu1089162	UFMu-12328	1	NA	NA	NA	NA	FALSE	Zm00004b001136	One-to-One	mRNA	moderate	missense_variant
Zm00001d028665	1	mu1043920	UFMu-04909	1	NA	NA	NA	NA	FALSE	Zm00004b001150	One-to-One	mRNA	moderate	missense_variant
Zm00001d028670	1	mu1085625	UFMu-11100	1	NA	NA	NA	NA	FALSE	Zm00004b001155	One-to-One	mRNA	moderate	missense_variant
Zm00001d028679	1	mu1009374	UFMu-00239	1	NA	NA	NA	NA	FALSE	Zm00004b001162,Zm00004b001163	Many-to-Many,Many-to-One	mRNA	no_change	NA
Zm00001d028687	1	mu1034856	UFMu-03452	1	NA	NA	NA	NA	FALSE	Zm00004b001166	One-to-One	mRNA	moderate	missense_variant
Zm00001d028693	1	mu1010482	UFMu-00206	1	NA	NA	NA	NA	FALSE	Zm00004b001174	One-to-One	mRNA	high	splice_donor_variant
Zm00001d028696	2	mu1013678|mu1089170	UFMu-01801|UFMu-12123	2	NA	NA	NA	NA	FALSE	Zm00004b001177	One-to-One	mRNA	non-syntenic	start_lost
Zm00001d028698	1	mu1055342	UFMu-07230	1	NA	NA	NA	NA	FALSE	Zm00004b001179	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d028702	4	mu1028108|mu1033699|mu1066047|mu1094274	UFMu-07378|UFMu-03480|UFMu-08572|UFMu-11320	>=3	NA	NA	NA	NA	FALSE	Zm00004b001183	One-to-One	mRNA	moderate	missense_variant
Zm00001d028705	4	mu1033054|mu1075354|mu1085628|mu1089175	UFMu-02681|UFMu-05595|UFMu-10924|UFMu-12261	>=3	NA	NA	NA	NA	FALSE	Zm00004b001185	One-to-One	mRNA	moderate	missense_variant
Zm00001d028713	3	mu1022813|mu1061297|mu1074097	UFMu-02259|UFMu-07720|UFMu-04656	>=3	NA	NA	NA	NA	FALSE	Zm00004b001193	One-to-One	mRNA	moderate	missense_variant
Zm00001d028714	1	mu1080597	UFMu-09468	1	NA	NA	NA	NA	FALSE	Zm00004b001194	One-to-One	mRNA	moderate	missense_variant
Zm00001d028725	1	mu1032134	UFMu-02691	1	NA	NA	NA	NA	FALSE	Zm00004b001198	One-to-One	mRNA	moderate	disruptive_inframe_insertion
Zm00001d028726	1	mu1080598	UFMu-09430	1	NA	NA	NA	NA	FALSE	Zm00004b001199	One-to-One	mRNA	high	frameshift_variant
Zm00001d028728	1	mu1037419	UFMu-03658	1	NA	NA	NA	NA	FALSE	Zm00004b001201	One-to-One	mRNA	low	synonymous_variant
Zm00001d028730	2	mu1037420|mu1037420	UFMu-04186|UFMu-11785	2	NA	NA	NA	NA	FALSE	Zm00004b001202	One-to-One	mRNA	no_change	NA
Zm00001d028731	3	mu1013679|mu1046684|mu1058717	UFMu-01275|UFMu-06527|UFMu-08145	>=3	NA	NA	NA	NA	FALSE	Zm00004b001203	One-to-One	mRNA	modifier	intron_variant
Zm00001d028740	1	mu1055349	UFMu-07469	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	no_change	NA
Zm00001d028741	1	mu1055349	UFMu-07469	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	low	synonymous_variant
Zm00001d028752	3	mu1021733|mu1043913|mu1043913	UFMu-01226|UFMu-04959|UFMu-09546	>=3	NA	NA	NA	NA	FALSE	Zm00004b001220	One-to-One	mRNA	modifier	5_prime_UTR_variant
Zm00001d028753	1	mu1022487	UFMu-02271	1	NA	NA	NA	NA	FALSE	Zm00004b001221,Zm00004b001222	Many-to-One	mRNA	low	synonymous_variant
Zm00001d028754	1	mu1016598	UFMu-01263	1	NA	NA	NA	NA	FALSE	Zm00004b001224	One-to-One	mRNA	moderate	missense_variant
Zm00001d028755	1	mu1013681	UFMu-01864	1	NA	NA	NA	NA	FALSE	Zm00004b001225	One-to-One	mRNA	modifier	intron_variant
Zm00001d028756	2	mu1040645|mu1074153	UFMu-04767|UFMu-03658	2	NA	NA	NA	NA	FALSE	Zm00004b001227	One-to-Many	mRNA	moderate	missense_variant
Zm00001d028757	2	mu1040645|mu1074153	UFMu-04767|UFMu-03658	2	NA	NA	NA	NA	FALSE	Zm00004b001227,Zm00004b001228	Many-to-Many,Many-to-One	mRNA	moderate	missense_variant
Zm00001d028759	1	mu1085630	UFMu-10575	1	NA	NA	NA	NA	FALSE	Zm00004b001229	One-to-One	mRNA	low	synonymous_variant
Zm00001d028761	1	mu1046688	UFMu-06440	1	NA	NA	NA	NA	FALSE	Zm00004b001230	One-to-One	mRNA	moderate	missense_variant
Zm00001d028769	1	mu1044432	UFMu-05784	1	NA	NA	NA	NA	FALSE	Zm00004b001236	One-to-One	mRNA	high	splice_donor_variant
Zm00001d028773	1	mu1043911	UFMu-04895	1	NA	NA	NA	NA	FALSE	Zm00004b001240	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d028774	1	mu1066051	UFMu-08808	1	NA	NA	NA	NA	FALSE	Zm00004b001241	One-to-One	mRNA	moderate	missense_variant
Zm00001d028780	1	mu1085631	UFMu-10867,UFMu-11208	1	NA	NA	NA	NA	FALSE	Zm00004b001247	One-to-One	mRNA	moderate	missense_variant
Zm00001d028783	2	mu1034748|mu1094278	UFMu-03644|UFMu-11144	2	NA	NA	NA	NA	FALSE	Zm00004b001250	One-to-One	mRNA	high	frameshift_variant
Zm00001d028784	1	mu1089187	UFMu-12848	1	NA	NA	NA	NA	FALSE	Zm00004b001251	One-to-One	mRNA	moderate	missense_variant
Zm00001d028796	1	mu1058722	UFMu-07728	1	NA	NA	NA	NA	FALSE	Zm00004b001256	One-to-One	mRNA	moderate	missense_variant
Zm00001d028797	1	mu1029283	UFMu-02898	1	NA	NA	NA	NA	FALSE	Zm00004b001257	One-to-One	mRNA	low	synonymous_variant
Zm00001d028798	1	mu1046690	UFMu-06119	1	NA	NA	NA	NA	FALSE	Zm00004b001258	One-to-One	mRNA	non-syntenic	stop_lost
Zm00001d028801	1	mu1076102	UFMu-09338	1	NA	NA	NA	NA	FALSE	Zm00004b001262	One-to-One	mRNA	moderate	missense_variant
Zm00001d028803	1	mu1046691	UFMu-06440	1	NA	NA	NA	NA	FALSE	Zm00004b001266	One-to-Many	mRNA	high	splice_acceptor_variant
Zm00001d028804	1	mu1021726	UFMu-01233	1	NA	NA	NA	NA	FALSE	Zm00004b001266	One-to-Many	mRNA	moderate	missense_variant
Zm00001d028808	1	mu1034901	UFMu-03447	1	NA	NA	NA	NA	FALSE	Zm00004b001270	One-to-One	mRNA	moderate	missense_variant
Zm00001d028809	1	mu1040647	UFMu-04493	1	NA	NA	NA	NA	FALSE	Zm00004b001271	One-to-One	mRNA	moderate	missense_variant
Zm00001d028810	1	mu1031272	UFMu-02943	1	NA	NA	NA	NA	FALSE	Zm00004b001272	One-to-One	mRNA	low	splice_region_variant
Zm00001d028811	1	mu1083929	UFMu-10398	1	NA	NA	NA	NA	FALSE	Zm00004b001273	One-to-One	mRNA	moderate	missense_variant
Zm00001d028813	1	mu1076104	UFMu-09232	1	NA	NA	NA	NA	FALSE	Zm00004b001278	One-to-One	mRNA	moderate	missense_variant
Zm00001d028820	1	mu1089191	UFMu-13807	1	NA	NA	NA	NA	FALSE	Zm00004b001283	One-to-One	mRNA	moderate	missense_variant
Zm00001d028821	1	mu1037428	UFMu-03228	1	NA	NA	NA	NA	FALSE	Zm00004b001284	One-to-One	mRNA	moderate	missense_variant
Zm00001d028822	1	mu1046692	UFMu-05985	1	NA	NA	NA	NA	FALSE	Zm00004b001285	One-to-Many	mRNA	high	stop_gained
Zm00001d028824	2	mu1044438|mu1046011	UFMu-05673|UFMu-05748	2	NA	NA	NA	NA	FALSE	Zm00004b001288	One-to-One	mRNA	moderate	missense_variant
Zm00001d028826	3	mu1055355|mu1084515|mu1094285	UFMu-07289|UFMu-10393|UFMu-13803	>=3	NA	NA	NA	NA	FALSE	Zm00004b001293	One-to-One	mRNA	moderate	missense_variant
Zm00001d028863	3	mu1034676|mu1040042|mu1089196	UFMu-03509|UFMu-03097|UFMu-12261	>=3	NA	NA	NA	NA	FALSE	Zm00004b001309	One-to-One	mRNA	moderate	missense_variant
Zm00001d028866	4	mu1032924|mu1040649|mu1061288|mu1061605	UFMu-02834|UFMu-04788,UFMu-05288,UFMu-06590,UFMu-07970|UFMu-08215,UFMu-11113|UFMu-08711,UFMu-09512,UFMu-11322,UFMu-12170,UFMu-13389,UFMu-13902	>=3	NA	NA	NA	NA	FALSE	Zm00004b001310	One-to-One	mRNA	no_change	NA
Zm00001d028879	1	mu1043906	UFMu-05287	1	bZIP	128	61	61/128	TRUE	Zm00004b001319	One-to-One	mRNA	no_change	NA
Zm00001d028880	1	mu1082905	UFMu-10324	1	NA	NA	NA	NA	FALSE	Zm00004b001320	One-to-One	mRNA	no_change	NA
Zm00001d028885	1	mu1036037	UFMu-03159	1	NA	NA	NA	NA	FALSE	Zm00004b001323	One-to-Many	mRNA	no_change	NA
Zm00001d028895	2	mu1080602|mu1089198	UFMu-09463|UFMu-13047	2	NA	NA	NA	NA	FALSE	Zm00004b001329	One-to-One	mRNA	modifier	5_prime_UTR_variant
Zm00001d028898	1	mu1058736	UFMu-07907	1	NA	NA	NA	NA	FALSE	Zm00004b001332	One-to-One	mRNA	no_change	NA
Zm00001d028901	1	mu1085634	UFMu-10954	1	NA	NA	NA	NA	FALSE	Zm00004b001335	One-to-Many	mRNA	no_change	NA
Zm00001d028902	1	mu1089206	UFMu-12387	1	NA	NA	NA	NA	FALSE	Zm00004b001335	One-to-Many	mRNA	moderate	missense_variant
Zm00001d028903	1	mu1029426	UFMu-02565	1	NA	NA	NA	NA	FALSE	Zm00004b001336	One-to-One	mRNA	low	synonymous_variant
Zm00001d028905	4	mu1018418|mu1025002|mu1033411|mu1044442	UFMu-01180,UFMu-04168|UFMu-05783|UFMu-03349|UFMu-05410	>=3	NA	NA	NA	NA	FALSE	Zm00004b001338	One-to-One	mRNA	modifier	intron_variant
Zm00001d028915	3	mu1023294|mu1037436|mu1058739	UFMu-01864|UFMu-03522|UFMu-07989	>=3	NA	NA	NA	NA	FALSE	Zm00004b001346	One-to-One	mRNA	non-syntenic	frameshift_variant
Zm00001d028924	2	mu1007229|mu1023393	UFMu-00098|UFMu-02337	2	NA	NA	NA	NA	FALSE	Zm00004b001359	One-to-One	mRNA	moderate	missense_variant
Zm00001d028926	4	mu1013697|mu1046703|mu1066064|mu1089210	UFMu-02619|UFMu-06405|UFMu-08490|UFMu-12342	>=3	NA	NA	NA	NA	FALSE	Zm00004b001360	One-to-One	mRNA	non-syntenic	stop_gained
Zm00001d028931	1	mu1080604	UFMu-09453	1	NA	NA	NA	NA	FALSE	Zm00004b001362	One-to-One	mRNA	moderate	missense_variant
Zm00001d028947	1	mu1066066	UFMu-08350	1	NA	NA	NA	NA	FALSE	Zm00004b001369	One-to-One	mRNA	moderate	missense_variant
Zm00001d028953	2	mu1082222|mu1082909	UFMu-09422,UFMu-10992,UFMu-11246|UFMu-10018	2	NA	NA	NA	NA	FALSE	Zm00004b001375	One-to-One	mRNA	moderate	missense_variant
Zm00001d028960	1	mu1044446	UFMu-05808	1	NA	NA	NA	NA	FALSE	Zm00004b001381	One-to-One	mRNA	moderate	missense_variant
Zm00001d028962	1	mu1017554	UFMu-01180	1	WRKY	121	60	60/121	TRUE	Zm00004b001382	One-to-One	mRNA	moderate	missense_variant
Zm00001d028971	1	mu1013702	UFMu-02112	1	NA	NA	NA	NA	FALSE	Zm00004b001390	One-to-One	mRNA	moderate	missense_variant
Zm00001d028974	2	mu1040655|mu1076115	UFMu-04780|UFMu-09401	2	EIL	9	6	6/9	TRUE	Zm00004b001393	One-to-One	mRNA	moderate	missense_variant
Zm00001d028975	9	mu1004707|mu1009274|mu1009274|mu1032181|mu1065560|mu1076114|mu1084521|mu1089211|mu1094290	UFMu-00458|UFMu-00254|UFMu-06711|UFMu-02936|UFMu-00679|UFMu-09139|UFMu-10402|UFMu-11289|UFMu-13994	>=3	NA	NA	NA	NA	FALSE	Zm00004b001394	One-to-One	mRNA	high	stop_gained
Zm00001d028984	1	mu1019531	UFMu-01129	1	G2-like	61	30	30/61	TRUE	Zm00004b001400	One-to-One	mRNA	moderate	missense_variant
Zm00001d028989	1	mu1013704	UFMu-02301	1	NA	NA	NA	NA	FALSE	Zm00004b001404	One-to-One	mRNA	modifier	5_prime_UTR_variant
Zm00001d028992	1	mu1089214	UFMu-11315	1	NA	NA	NA	NA	FALSE	Zm00004b001407	One-to-One	mRNA	high	frameshift_variant
Zm00001d029009	2	mu1030353|mu1082281	UFMu-02858|UFMu-09849	2	NA	NA	NA	NA	FALSE	Zm00004b001416	One-to-One	mRNA	high	frameshift_variant
Zm00001d029010	8	mu1007436|mu1013712|mu1021857|mu1021857|mu1080609|mu1082224|mu1082671|mu1085641	UFMu-00183,UFMu-01660|UFMu-01391,UFMu-03254,UFMu-04501,UFMu-06937|UFMu-01660|UFMu-10448|UFMu-09468|UFMu-09468|UFMu-09680,UFMu-11602|UFMu-10752	>=3	NA	NA	NA	NA	FALSE	Zm00004b001417	One-to-One	mRNA	moderate	missense_variant
Zm00001d029012	2	mu1013713|mu1043901	UFMu-01346|UFMu-04991	2	NA	NA	NA	NA	FALSE	Zm00004b001419	One-to-One	mRNA	moderate	missense_variant
Zm00001d029034	1	mu1013715	UFMu-01407	1	NA	NA	NA	NA	FALSE	Zm00004b001429	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d029040	4	mu1027298|mu1037451|mu1087630|mu1089224	UFMu-09170|UFMu-03653|UFMu-10590|UFMu-11933	>=3	NA	NA	NA	NA	FALSE	Zm00004b001433	One-to-One	mRNA	high	frameshift_variant
Zm00001d029047	1	mu1082915	UFMu-10512	1	NA	NA	NA	NA	FALSE	Zm00004b001439	One-to-One	mRNA	moderate	missense_variant
Zm00001d029051	2	mu1013717|mu1080612	UFMu-02254|UFMu-09469	2	NA	NA	NA	NA	FALSE	Zm00004b001443	One-to-One	mRNA	no_change	NA
Zm00001d029059	1	mu1089226	UFMu-11161	1	NA	NA	NA	NA	FALSE	Zm00004b001450	One-to-One	mRNA	moderate	missense_variant
Zm00001d029061	1	mu1037456	UFMu-02631,UFMu-03233	1	NA	NA	NA	NA	FALSE	Zm00004b001451	One-to-One	mRNA	moderate	disruptive_inframe_deletion
Zm00001d029065	1	mu1046719	UFMu-06452	1	NA	NA	NA	NA	FALSE	Zm00004b001454	One-to-One	mRNA	low	synonymous_variant
Zm00001d029072	1	mu1013723	UFMu-01391,UFMu-03254,UFMu-04501,UFMu-06937	1	NA	NA	NA	NA	FALSE	Zm00004b001459	One-to-One	mRNA	low	synonymous_variant
Zm00001d029077	2	mu1040658|mu1075357	UFMu-04582|UFMu-05595	2	NA	NA	NA	NA	FALSE	Zm00004b001462	One-to-One	mRNA	moderate	missense_variant
Zm00001d029093	1	mu1058753	UFMu-08152	1	NA	NA	NA	NA	FALSE	Zm00004b001474	One-to-One	mRNA	moderate	disruptive_inframe_deletion
Zm00001d029105	2	mu1022818|mu1085648	UFMu-01951|UFMu-10581	2	NA	NA	NA	NA	FALSE	Zm00004b001490	One-to-One	mRNA	moderate	missense_variant
Zm00001d029123	2	mu1044451|mu1051891	UFMu-05940|UFMu-06852	2	NA	NA	NA	NA	FALSE	Zm00004b001508	One-to-One	mRNA	no_change	NA
Zm00001d029126	1	mu1084523	UFMu-10195	1	NA	NA	NA	NA	FALSE	Zm00004b001511	One-to-One	mRNA	moderate	missense_variant
Zm00001d029127	1	mu1046730	UFMu-06500	1	NA	NA	NA	NA	FALSE	Zm00004b001512	One-to-One	mRNA	high	splice_acceptor_variant
Zm00001d029142	1	mu1087470	UFMu-10620	1	NA	NA	NA	NA	FALSE	Zm00004b001524	One-to-One	mRNA	modifier	intron_variant
Zm00001d029143	1	mu1029092	UFMu-02862	1	NA	NA	NA	NA	FALSE	Zm00004b001525	One-to-One	mRNA	moderate	missense_variant
Zm00001d029184	1	mu1082922	UFMu-10196	1	NA	NA	NA	NA	FALSE	Zm00004b001546	One-to-One	mRNA	high	stop_lost
Zm00001d029191	3	mu1023243|mu1046735|mu1071641	UFMu-02388|UFMu-06196|UFMu-02339	>=3	NA	NA	NA	NA	FALSE	Zm00004b001551	One-to-One	mRNA	modifier	3_prime_UTR_variant
Zm00001d029193	6	mu1013736|mu1032030|mu1058764|mu1058764|mu1071642|mu1076132	UFMu-01250,UFMu-01867|UFMu-02709|UFMu-07769|UFMu-12042|UFMu-01867|UFMu-09143	>=3	NA	NA	NA	NA	FALSE	Zm00004b001553	One-to-One	mRNA	no_change	NA
