mid	sids	gid	etype	eidx
mu1049490	UFMu-05995	Zm00001d010610	intron	1
mu1049491	UFMu-06409	Zm00001d010618	intron	1
mu1049495	UFMu-06449	Zm00001d010667	cds	1
mu1049497	UFMu-06526	Zm00001d010676	cds	1
mu1049498	UFMu-06525	Zm00001d008546	utr3	1
mu1049500	UFMu-06518	Zm00001d002238	cds	1
mu1049500_2	UFMu-06518	Zm00001d010710	cds	2
mu1049501	UFMu-06492	Zm00001d010755	utr5	1
mu1049503	UFMu-06396	Zm00001d010783	cds	1
mu1049506	UFMu-06492	Zm00001d010791	intron	3
mu1049508	UFMu-06512	Zm00001d010795	utr5	1
mu1049509	UFMu-06080	Zm00001d010811	intron	13
mu1049510	UFMu-06472	Zm00001d010825	intron	1
mu1049511	UFMu-05987	Zm00001d010835	utr5	1
mu1049513	UFMu-06466	Zm00001d010863	cds	1
mu1049514	UFMu-06511	Zm00001d010867	cds	2
mu1049515	UFMu-06503	Zm00001d010868	cds	1
mu1049518_2	UFMu-05971	Zm00001d010887	intron	1
mu1049519	UFMu-06363	Zm00001d010908	intron	2
mu1049520	UFMu-06530	Zm00001d010910	utr5	1
mu1049521	UFMu-10680,UFMu-06518	Zm00001d010915	utr5	1
mu1049522	UFMu-06296	Zm00001d010918	intron	1
mu1049523	UFMu-06467	Zm00001d010919	utr5	1
mu1049524	UFMu-06498	Zm00001d010950	utr5	1
mu1049525	UFMu-06477	Zm00001d010950	utr5	1
mu1049527	UFMu-06520	Zm00001d010957	cds	2
mu1049531	UFMu-06498	Zm00001d010972	cds	2
mu1049535	UFMu-06497	Zm00001d008591	cds	1
mu1049536	UFMu-06509	Zm00001d011067	intron	2
mu1049537	UFMu-06440	Zm00001d011087	cds	1
mu1049538	UFMu-06124	Zm00001d011089	utr5	1
mu1049540	UFMu-06512	Zm00001d011100	utr5	1
mu1049543	UFMu-06198	Zm00001d011140	utr5	1
mu1049544	UFMu-06119	Zm00001d011143	utr5	1
mu1049545	UFMu-06193	Zm00001d030106	utr5	1
mu1049546	UFMu-06342,UFMu-07787	Zm00001d008599	utr5	1
mu1049549	UFMu-06530	Zm00001d011162	utr5	1
mu1049551	UFMu-06520	Zm00001d011174	utr5	1
mu1049552	UFMu-06344	Zm00001d011174	intron	1
mu1049553	UFMu-06526	Zm00001d008602	cds	2
mu1049554	UFMu-06452,UFMu-10913	Zm00001d008602	cds	1
mu1049555	UFMu-06455,UFMu-11250	Zm00001d011180	cds	1
mu1049556	UFMu-06130	Zm00001d011188	utr5	1
mu1049557	UFMu-06220	Zm00001d011198	cds	1
mu1049558	UFMu-06143	Zm00001d011211	intron	1
mu1049559	UFMu-06512	Zm00001d011220	utr5	1
mu1049560	UFMu-06514	Zm00001d011256	utr5	1
mu1049561	UFMu-06514	Zm00001d011256	utr5	1
mu1049564	UFMu-06473	Zm00001d011283	utr5	1
mu1049565	UFMu-06477	Zm00001d011288	intron	1
mu1049566	UFMu-06503	Zm00001d011308	intron	4
mu1049567	UFMu-06492	Zm00001d011330	utr5	1
mu1049568	UFMu-06250	Zm00001d011336	cds	1
mu1049570	UFMu-06517	Zm00001d011366	utr5	1
mu1049571	UFMu-06278	Zm00001d008218	cds	1
mu1049573	UFMu-06409	Zm00001d011399	cds	2
mu1049578	UFMu-06517	Zm00001d008632	cds	1
mu1049579	UFMu-06273	Zm00001d011519	intron	1
mu1049581	UFMu-06521	Zm00001d011579	cds	1
mu1049582	UFMu-06512	Zm00001d011581	cds	1
mu1049586	UFMu-06342	Zm00001d008642	cds	9
mu1049587	UFMu-06531	Zm00001d011610	intron	3
mu1049588	UFMu-06241	Zm00001d043845	intron	2
mu1049595	UFMu-06269	Zm00001d022006	cds	2
mu1049596	UFMu-06007	Zm00001d011705	utr5	1
mu1049598	UFMu-06524	Zm00001d011716	utr5	1
mu1049600	UFMu-06493	Zm00001d011721	cds	1
mu1049601	UFMu-06119	Zm00001d011730	cds	1
mu1049603	UFMu-06501	Zm00001d011754	intron	1
mu1049604	UFMu-06499	Zm00001d011758	utr5	1
mu1049605	UFMu-06523	Zm00001d011758	intron	1
mu1049608	UFMu-06409,UFMu-11980	Zm00001d011775	intron	1
mu1049609	UFMu-05977	Zm00001d011792	utr5	1
mu1049610	UFMu-05963	Zm00001d011802	cds	1
mu1049615	UFMu-06491	Zm00001d011855	intron	9
mu1049617	UFMu-06503	Zm00001d011889	intron	1
mu1049618	UFMu-05983	Zm00001d011891	utr5	1
mu1049618	UFMu-05983	Zm00001d011892	cds	1
mu1049619	UFMu-06363	Zm00001d011901	utr3	1
mu1049623	UFMu-06526	Zm00001d011958	intron	3
mu1049624	UFMu-06428	Zm00001d011981	utr5	1
mu1049625	UFMu-06252	Zm00001d011997	intron	2
mu1049627	UFMu-06134	Zm00001d012005	utr5	1
mu1049628	UFMu-06433	Zm00001d012005	cds	1
mu1049631	UFMu-06526	Zm00001d012041	intron	1
mu1049632	UFMu-06343	Zm00001d012047	cds	2
mu1049633	UFMu-06135	Zm00001d012064	cds	1
mu1049635	UFMu-06475	Zm00001d012097	cds	1
mu1049636	UFMu-06512	Zm00001d012101	utr5	1
mu1049637	UFMu-06475	Zm00001d012119	cds	7
mu1049638	UFMu-06475	Zm00001d012119	utr3	1
mu1049639	UFMu-06253	Zm00001d012121	intron	2
mu1049640_2	UFMu-06471,UFMu-13193	Zm00001d012126	intron	7
mu1049641	UFMu-06160	Zm00001d012126	intron	2
mu1049642	UFMu-06512	Zm00001d012140	utr5	1
mu1049645	UFMu-06150	Zm00001d012169	cds	1
mu1049647	UFMu-06521	Zm00001d012178	utr5	1
mu1049649	UFMu-06125	Zm00001d012196	utr5	1
mu1049650	UFMu-06492	Zm00001d012211	intron	1
mu1049651	UFMu-06001	Zm00001d012211	cds	8
mu1049653	UFMu-06297	Zm00001d017513	cds	1
mu1049654	UFMu-06482	Zm00001d017513	cds	1
mu1049656	UFMu-06492	Zm00001d012224	intron	2
mu1049660	UFMu-06442	Zm00001d012287	cds	3
mu1049661	UFMu-06477	Zm00001d012294	cds	4
mu1049662	UFMu-06513	Zm00001d012314	cds	1
mu1049662	UFMu-06513	Zm00001d012315	cds	1
mu1049664	UFMu-06514	Zm00001d012336	cds	1
mu1049665	UFMu-06364	Zm00001d012350	cds	1
mu1049666	UFMu-06277	Zm00001d042837	cds	1
mu1049668	UFMu-06126	Zm00001d012395	utr5	1
mu1049669	UFMu-06150	Zm00001d012396	utr5	1
mu1049671	UFMu-06165	Zm00001d012420	cds	2
mu1049672	UFMu-06492	Zm00001d012446	utr5	1
mu1049674	UFMu-06515	Zm00001d012450	intron	1
mu1049675	UFMu-06409	Zm00001d012450	utr5	1
mu1049676	UFMu-06193	Zm00001d012467	cds	1
mu1049677	UFMu-06093	Zm00001d008708	utr5	1
mu1049678	UFMu-06433	Zm00001d012513	utr5	1
mu1049680	UFMu-06475	Zm00001d008716	cds	1
mu1049682	UFMu-06498	Zm00001d012518	utr5	1
mu1049683	UFMu-06482	Zm00001d012525	utr5	1
mu1049684	UFMu-06034	Zm00001d012528	cds	1
mu1049686	UFMu-06498	Zm00001d012557	cds	1
mu1049688	UFMu-06496	Zm00001d012590	intron	3
mu1049690	UFMu-06134	Zm00001d012597	utr3	1
mu1049694	UFMu-06492	Zm00001d012629	utr3	3
mu1049695	UFMu-06528	Zm00001d012643	intron	14
mu1049696	UFMu-06162	Zm00001d012644	cds	1
mu1049697	UFMu-05970	Zm00001d012648	cds	3
mu1049698	UFMu-06118	Zm00001d012655	cds	10
mu1049700	UFMu-06517	Zm00001d012659	utr5	1
mu1049702	UFMu-06446	Zm00001d012662	intron	3
mu1049703	UFMu-06138	Zm00001d012662	utr5	1
mu1049705	UFMu-06078	Zm00001d012666	cds	1
mu1049706	UFMu-06514	Zm00001d012666	intron	1
mu1049707	UFMu-05978	Zm00001d008724	intron	2
mu1049708	UFMu-06241	Zm00001d012672	utr3	1
mu1049711	UFMu-06527	Zm00001d012674	utr5	1
mu1049712	UFMu-06512	Zm00001d012675	utr5	1
mu1049713	UFMu-06512	Zm00001d012675	utr5	1
mu1049714	UFMu-06514	Zm00001d012675	cds	1
mu1049718	UFMu-06254	Zm00001d012690	cds	2
mu1049721	UFMu-06241	Zm00001d012707	utr5	1
mu1049723	UFMu-06491	Zm00001d012735	intron	1
mu1049725	UFMu-05984	Zm00001d007578	utr5	1
mu1049727	UFMu-06516,UFMu-11442	Zm00001d012774	cds	1
mu1049729	UFMu-06173	Zm00001d008736	utr5	1
mu1049730	UFMu-06512	Zm00001d008782	utr5	2
mu1049732	UFMu-06489	Zm00001d008789	cds	1
mu1049734	UFMu-05964,UFMu-06845	Zm00001d008805	cds	4
mu1049737	UFMu-06523	Zm00001d008816	cds	2
mu1049738	UFMu-06528	Zm00001d008846	utr5	1
mu1049739	UFMu-06343	Zm00001d035965	utr5	1
mu1049742	UFMu-06404	Zm00001d008903	cds	1
mu1049743	UFMu-06516	Zm00001d008905	cds	1
mu1049744	UFMu-06432	Zm00001d008907	utr5	1
mu1049746	UFMu-06173	Zm00001d008916	utr5	1
mu1049747	UFMu-06525	Zm00001d008249	intron	1
mu1049748	UFMu-06518	Zm00001d008940	utr5	1
mu1049749	UFMu-06513	Zm00001d008965	utr5	1
mu1049751	UFMu-06453	Zm00001d008996	utr5	1
mu1049752	UFMu-06492	Zm00001d009004	utr5	1
mu1049755	UFMu-06526	Zm00001d008258	utr5	1
mu1049757	UFMu-06327	Zm00001d008177	intron	1
mu1049758	UFMu-06327	Zm00001d008177	intron	1
mu1049759	UFMu-06410,UFMu-06758,UFMu-07279	Zm00001d009123	cds	9
mu1049761	UFMu-05991	Zm00001d002610	cds	2
mu1049763	UFMu-06504	Zm00001d009212	utr5	1
mu1049764	UFMu-06452	Zm00001d009226	cds	1
mu1049767	UFMu-05995	Zm00001d008323	utr5	1
mu1049768	UFMu-06026	Zm00001d008326	utr3	1
mu1049771	UFMu-06448	Zm00001d008354	cds	1
mu1049772	UFMu-06505	Zm00001d009374	cds	3
mu1049774	UFMu-06213	Zm00001d009394	utr5	2
mu1049777	UFMu-06420	Zm00001d009410	utr5	1
mu1049778	UFMu-06494	Zm00001d009413	utr5	1
mu1049781	UFMu-05977	Zm00001d009439	utr5	1
mu1049783	UFMu-06505	Zm00001d008386	cds	1
mu1049784	UFMu-06193	Zm00001d009503	cds	1
mu1049786	UFMu-06523	Zm00001d009549	cds	5
mu1049787	UFMu-05984	Zm00001d009549	intron	4
mu1049788	UFMu-06497	Zm00001d009549	intron	3
mu1049791	UFMu-05970	Zm00001d009587	utr5	1
mu1049792	UFMu-06439	Zm00001d009597	cds	11
mu1049794	UFMu-06162	Zm00001d009631	intron	1
mu1049797	UFMu-05984	Zm00001d009676	utr5	1
mu1049799	UFMu-06406	Zm00001d008407	utr5	1
mu1049800	UFMu-06528	Zm00001d009735	cds	7
mu1049801	UFMu-06001	Zm00001d009740	intron	1
mu1049803	UFMu-06249	Zm00001d009746	cds	1
mu1049804	UFMu-06518	Zm00001d009747	utr5	1
mu1049808	UFMu-06278	Zm00001d009813	intron	2
mu1049810	UFMu-06344	Zm00001d009878	cds	1
mu1049811	UFMu-05958	Zm00001d009878	utr5	1
mu1049812	UFMu-06508	Zm00001d011152	utr5	1
mu1049816	UFMu-06409	Zm00001d008454	cds	1
mu1049817	UFMu-11428,UFMu-06401	Zm00001d009928	intron	4
mu1049822	UFMu-06420	Zm00001d009978	utr5	1
mu1049823	UFMu-06123	Zm00001d009978	cds	1
mu1049824	UFMu-05985,UFMu-10924	Zm00001d037859	cds	1
mu1049826	UFMu-06512	Zm00001d010033	utr5	1
mu1049828	UFMu-06406	Zm00001d010056	intron	1
mu1049830	UFMu-06033	Zm00001d010115	utr5	1
mu1049831	UFMu-06078	Zm00001d010128	utr5	1
mu1049832	UFMu-06282	Zm00001d010149	utr5	2
mu1049833	UFMu-06452	Zm00001d010152	cds	2
mu1049833_2	UFMu-06452	Zm00001d010162	cds	2
mu1049834	UFMu-05993	Zm00001d010152	cds	2
mu1049834_2	UFMu-05993	Zm00001d010162	cds	2
mu1049837	UFMu-06514	Zm00001d053942	cds	1
mu1049838	UFMu-06484,UFMu-11211	Zm00001d046759	utr5	2
mu1049839	UFMu-06412	Zm00001d046759	intron	4
mu1049840	UFMu-06175	Zm00001d046835	utr5	1
mu1049841	UFMu-06297	Zm00001d046865	utr3	1
mu1049844	UFMu-06509	Zm00001d045669	cds	1
mu1049845	UFMu-05985	Zm00001d046910	cds	1
mu1049851	UFMu-06411,UFMu-07526	Zm00001d047005	utr3	1
mu1049852	UFMu-06505	Zm00001d047013	cds	1
mu1049853	UFMu-06527	Zm00001d047015	cds	1
mu1049855_2	UFMu-06404	Zm00001d047470	utr3	1
mu1049859	UFMu-06518	Zm00001d047042	cds	1
mu1049860	UFMu-06344	Zm00001d047053	utr5	1
mu1049861	UFMu-06408	Zm00001d047057	utr5	1
mu1049861	UFMu-06408	Zm00001d047058	utr5	1
mu1049862	UFMu-06002,UFMu-11310	Zm00001d047058	utr5	1
mu1049863	UFMu-05989	Zm00001d047058	intron	2
mu1049864	UFMu-06520	Zm00001d047069	intron	3
mu1049868	UFMu-06523	Zm00001d000038	intron	1
mu1049869	UFMu-06455	Zm00001d000038	utr5	1
mu1049870	UFMu-06282	Zm00001d000034	cds	1
mu1049871	UFMu-06409,UFMu-13746	Zm00001d000183	intron	1
mu1049874	UFMu-06185	Zm00001d000178	utr5	1
mu1049880	UFMu-06480	Zm00001d045064	cds	1
mu1049881	UFMu-06341	Zm00001d047183	cds	1
mu1049882	UFMu-06420	Zm00001d047191	intron	1
mu1049883	UFMu-06244	Zm00001d047209	utr5	1
mu1049884	UFMu-06522	Zm00001d052060	cds	1
mu1049886	UFMu-06448	Zm00001d047236	intron	1
mu1049887	UFMu-06404	Zm00001d047238	intron	1
mu1049888	UFMu-06461	Zm00001d045074	intron	1
mu1049889	UFMu-06409	Zm00001d047262	utr5	1
mu1049893	UFMu-06520	Zm00001d047355	intron	1
mu1049894	UFMu-05989	Zm00001d045084	intron	1
mu1049895	UFMu-05984	Zm00001d047361	intron	1
mu1049896	UFMu-06526	Zm00001d047362	utr5	1
mu1049897	UFMu-06504	Zm00001d047367	cds	1
mu1049898	UFMu-05977	Zm00001d000391	utr5	1
mu1049899	UFMu-06468	Zm00001d000391	intron	1
mu1049900	UFMu-06266	Zm00001d047602	cds	1
mu1049901	UFMu-06492	Zm00001d047382	utr5	1
mu1049902	UFMu-06500	Zm00001d047392	intron	12
mu1049903	UFMu-06480	Zm00001d047396	utr5	1
mu1049905	UFMu-06507	Zm00001d029297	utr5	1
mu1049906	UFMu-06504	Zm00001d047435	intron	1
mu1049907	UFMu-06219	Zm00001d045098	utr5	1
mu1049909	UFMu-06523	Zm00001d047465	cds	1
mu1049911	UFMu-06500	Zm00001d047472	intron	2
mu1049912	UFMu-06119	Zm00001d047482	cds	3
mu1049914	UFMu-06514	Zm00001d047494	utr5	1
mu1049917	UFMu-06161	Zm00001d047506	cds	2
mu1049918	UFMu-05995	Zm00001d047517	utr5	1
mu1049920	UFMu-06492	Zm00001d047522	cds	1
mu1049922	UFMu-06275	Zm00001d047537	utr5	1
mu1049923	UFMu-06492	Zm00001d047538	intron	1
mu1049924	UFMu-06493	Zm00001d047554	cds	3
mu1049925	UFMu-06290	Zm00001d047573	cds	1
mu1049927	UFMu-06503	Zm00001d047574	utr5	1
mu1049929	UFMu-06519	Zm00001d047583	utr5	1
mu1049930	UFMu-06291	Zm00001d047614	cds	1
mu1049932	UFMu-06246	Zm00001d045113	intron	1
mu1049933	UFMu-06341	Zm00001d047632	cds	1
mu1049940	UFMu-06520	Zm00001d047701	cds	6
mu1049943	UFMu-06119	Zm00001d047712	utr5	1
mu1049945	UFMu-06525	Zm00001d047749	utr5	1
mu1049946	UFMu-05977	Zm00001d047755	intron	11
mu1049947	UFMu-06530	Zm00001d047762	utr5	1
mu1049948	UFMu-05985	Zm00001d047765	intron	1
mu1049949	UFMu-06226	Zm00001d047769	utr5	1
mu1049950	UFMu-06524	Zm00001d047780	utr5	1
mu1049951	UFMu-06272	Zm00001d047787	cds	1
mu1049953	UFMu-06506	Zm00001d032025	utr5	1
mu1049954	UFMu-06344	Zm00001d047801	intron	1
mu1049955	UFMu-06524	Zm00001d047806	utr5	1
mu1049957	UFMu-06417	Zm00001d047831	intron	7
mu1049958	UFMu-06436	Zm00001d045128	intron	1
mu1049963	UFMu-06502	Zm00001d047911	utr5	1
mu1049964	UFMu-06002,UFMu-11310	Zm00001d047916	utr5	1
mu1049965	UFMu-06339	Zm00001d047951	cds	1
mu1049966	UFMu-06307	Zm00001d047962	utr5	1
mu1049969	UFMu-06297	Zm00001d047982	cds	1
mu1049970	UFMu-06517	Zm00001d047986	cds	8
mu1049972	UFMu-06238	Zm00001d048040	utr5	1
mu1049973	UFMu-06193	Zm00001d048074	utr5	1
mu1049975	UFMu-06504	Zm00001d048092	intron	1
mu1049976	UFMu-06504	Zm00001d048096	utr5	1
mu1049978	UFMu-05964,UFMu-06845	Zm00001d048102	utr5	1
mu1049979	UFMu-06464	Zm00001d048102	utr5	1
mu1049980	UFMu-06265	Zm00001d048105	utr5	1
mu1049982	UFMu-06498	Zm00001d048127	intron	4
mu1049984	UFMu-06509	Zm00001d028112	utr5	1
mu1049985	UFMu-06528	Zm00001d048169	cds	1
mu1049987	UFMu-06432	Zm00001d048171	utr5	1
mu1049988	UFMu-06509	Zm00001d045160	intron	1
mu1049990	UFMu-06030	Zm00001d048201	utr5	1
mu1049991	UFMu-06435	Zm00001d048202	utr5	1
mu1049993	UFMu-06254	Zm00001d048205	utr5	1
mu1049994	UFMu-06514	Zm00001d048239	cds	8
mu1049995	UFMu-06217	Zm00001d048253	utr5	1
mu1049995_2	UFMu-06217	Zm00001d048256	utr5	1
mu1049997	UFMu-06483	Zm00001d048284	utr5	1
mu1049999	UFMu-06508	Zm00001d048315	intron	3
mu1050003	UFMu-06274	Zm00001d048349	cds	2
mu1050004	UFMu-06399	Zm00001d048358	cds	1
mu1050007	UFMu-06472	Zm00001d048416	cds	6
mu1050008	UFMu-06475	Zm00001d048420	cds	3
mu1050011	UFMu-06404,UFMu-11144	Zm00001d048430	utr5	1
mu1050012	UFMu-06504	Zm00001d048430	intron	1
mu1050013	UFMu-05985	Zm00001d048430	utr5	2
mu1050015	UFMu-06150	Zm00001d048463	intron	2
mu1050017	UFMu-05970	Zm00001d048493	utr5	1
mu1050018	UFMu-06497	Zm00001d048497	utr5	1
mu1050019	UFMu-06498	Zm00001d027344	cds	4
mu1050020	UFMu-06452	Zm00001d048507	cds	2
mu1050021	UFMu-06323	Zm00001d048511	utr5	1
mu1050022	UFMu-06507	Zm00001d048511	utr5	1
mu1050023	UFMu-05983	Zm00001d048512	utr5	1
mu1050024	UFMu-06435	Zm00001d048522	intron	1
mu1050025	UFMu-06475	Zm00001d048522	intron	1
mu1050026	UFMu-06409	Zm00001d048522	intron	1
mu1050028_2	UFMu-10897,UFMu-06500	Zm00001d048540	intron	8
mu1050029_2	UFMu-06489	Zm00001d048540	intron	8
mu1050030_2	UFMu-06477	Zm00001d048540	intron	8
mu1050038	UFMu-06509	Zm00001d045215	cds	1
mu1050039	UFMu-06440	Zm00001d045235	cds	1
mu1050040	UFMu-06440	Zm00001d045233	cds	1
mu1050041	UFMu-05970	Zm00001d003435	utr3	1
mu1050042	UFMu-05970	Zm00001d045247	cds	2
mu1050043	UFMu-06489	Zm00001d045251	utr5	1
mu1050045	UFMu-06515	Zm00001d045312	utr3	1
mu1050045	UFMu-06515	Zm00001d045314	intron	1
mu1050051	UFMu-06512,UFMu-07162	Zm00001d045394	utr5	1
mu1050052	UFMu-06501	Zm00001d045403	utr5	1
mu1050053	UFMu-06248	Zm00001d045403	utr5	1
mu1050056	UFMu-06452	Zm00001d045434	intron	17
mu1050059	UFMu-05983	Zm00001d045479	utr5	1
mu1050060	UFMu-06409	Zm00001d045481	intron	2
mu1050061	UFMu-06511	Zm00001d045487	utr5	1
mu1050062	UFMu-06514	Zm00001d045490	cds	1
mu1050063	UFMu-06459	Zm00001d045492	cds	1
mu1050064	UFMu-06493	Zm00001d045496	cds	1
mu1050065	UFMu-06439	Zm00001d045505	utr5	1
mu1050067	UFMu-06510	Zm00001d045540	utr5	1
mu1050068	UFMu-06477	Zm00001d045544	utr5	1
mu1050069	UFMu-06123	Zm00001d045551	cds	2
mu1050070	UFMu-06477	Zm00001d045575	intron	1
mu1050071	UFMu-06160	Zm00001d045599	utr5	1
mu1050075	UFMu-06212	Zm00001d045632	cds	1
mu1050077	UFMu-06344	Zm00001d032567	utr5	1
mu1050078	UFMu-06497	Zm00001d045695	intron	3
mu1050079	UFMu-06410	Zm00001d045728	utr5	1
mu1050080	UFMu-05984	Zm00001d045735	cds	2
mu1050083	UFMu-06452,UFMu-10913	Zm00001d045812	intron	1
mu1050086	UFMu-06512,UFMu-07934	Zm00001d045897	cds	1
mu1050088	UFMu-06497	Zm00001d044831	cds	1
mu1050101	UFMu-06515	Zm00001d044902	utr5	1
mu1050102	UFMu-06492	Zm00001d044907	utr5	1
mu1050104	UFMu-06275	Zm00001d046277	intron	4
mu1050105	UFMu-06526	Zm00001d046304	intron	2
mu1050106	UFMu-06161,UFMu-12044	Zm00001d046305	cds	1
mu1050112	UFMu-05989	Zm00001d044940	cds	1
mu1050115	UFMu-06459	Zm00001d044944	cds	1
mu1050118	UFMu-06420	Zm00001d046440	intron	2
mu1050119	UFMu-06280	Zm00001d046441	utr5	1
mu1050120	UFMu-06518	Zm00001d046449	utr5	1
mu1050122	UFMu-06530	Zm00001d046485	utr5	1
mu1050123	UFMu-06435	Zm00001d046488	cds	1
mu1050124	UFMu-06411	Zm00001d046488	cds	1
mu1050127	UFMu-06034	Zm00001d036892	cds	1
mu1050130	UFMu-06002	Zm00001d043151	utr5	1
mu1050134	UFMu-06414	Zm00001d046568	cds	1
mu1050136	UFMu-06344	Zm00001d046593	intron	9
mu1050137	UFMu-06455,UFMu-06774	Zm00001d046601	intron	1
mu1050138	UFMu-06436	Zm00001d046642	intron	1
mu1050139	UFMu-06478	Zm00001d044975	intron	1
mu1050144	UFMu-05985	Zm00001d043449	intron	2
mu1050155	UFMu-06528	Zm00001d045596	cds	1
mu1050158	UFMu-06161	Zm00001d045157	cds	1
mu1050165	UFMu-06473	Zm00001d033314	intron	4
mu1050172	UFMu-06403	Zm00001d012629	utr3	2
mu1050173	UFMu-06149,UFMu-08186	Zm00001d012118	intron	8
mu1050174	UFMu-06449	Zm00001d011984	cds	1
mu1050175	UFMu-06408	Zm00001d011945	utr5	1
mu1050178	UFMu-05987,UFMu-06721	Zm00001d011061	utr5	1
mu1050180	UFMu-06532	Zm00001d010940	utr5	1
mu1050188	UFMu-06512	Zm00001d018825	intron	4
mu1050196	UFMu-06477	Zm00001d022236	intron	1
mu1050204	UFMu-06472	Zm00001d038927	utr5	1
mu1050205	UFMu-06130	Zm00001d038676	utr5	1
mu1050207	UFMu-06420	Zm00001d038449	intron	3
mu1050208	UFMu-06492,UFMu-06857	Zm00001d038166	cds	1
mu1050211	UFMu-06118	Zm00001d013981	cds	1
mu1050212	UFMu-05985	Zm00001d037434	utr5	1
mu1050215	UFMu-06408	Zm00001d036970	utr5	1
mu1050219	UFMu-06278	Zm00001d031534	utr5	1
mu1050221	UFMu-06420	Zm00001d015449	utr5	1
mu1050226	UFMu-05984	Zm00001d013074	utr5	1
mu1050228	UFMu-06512	Zm00001d018516	cds	1
mu1050229	UFMu-06118	Zm00001d018477	utr5	1
mu1050230	UFMu-06242	Zm00001d018472	intron	1
mu1050231	UFMu-05983	Zm00001d018386	intron	2
mu1050235	UFMu-06209	Zm00001d017809	utr5	1
mu1050250	UFMu-06217	Zm00001d048794	utr5	2
mu1050254	UFMu-05970	Zm00001d052886	utr5	1
mu1050256	UFMu-06150	Zm00001d052621	intron	1
mu1050257	UFMu-06322	Zm00001d000380	utr5	1
mu1050258	UFMu-06523	Zm00001d051627	utr5	1
mu1050259	UFMu-06297	Zm00001d049075	intron	2
mu1050265	UFMu-05990,UFMu-08197	Zm00001d000524	intron	1
mu1050267	UFMu-06525	Zm00001d040497	cds	2
mu1050268	UFMu-06132	Zm00001d016757	cds	1
mu1050272	UFMu-06160	Zm00001d043797	utr5	1
mu1050273	UFMu-06132	Zm00001d043469	utr5	1
mu1050275	UFMu-06276	Zm00001d043430	cds	1
mu1050276	UFMu-06515	Zm00001d043259	utr5	1
mu1050278	UFMu-06514	Zm00001d042853	intron	2
mu1050279	UFMu-06118	Zm00001d042795	utr5	1
mu1050281	UFMu-06353	Zm00001d042279	utr5	1
mu1050282	UFMu-05984	Zm00001d041063	utr5	1
mu1050285	UFMu-06000	Zm00001d002929	cds	1
mu1050286	UFMu-06118,UFMu-06828,UFMu-07407,UFMu-07888,UFMu-09972	Zm00001d006271	intron	2
mu1050287	UFMu-06521	Zm00001d005863	intron	1
mu1050288	UFMu-06414	Zm00001d005684	utr5	1
mu1050295	UFMu-06509	Zm00001d027815	utr3	1
mu1050300	UFMu-06282	Zm00001d024403	intron	1
mu1050302	UFMu-06464	Zm00001d000011	utr3	1
mu1050310	UFMu-06514	Zm00001d025938	utr5	1
mu1050315	UFMu-06161,UFMu-08234,UFMu-12294,UFMu-13809	Zm00001d028863	utr5	1
mu1050316	UFMu-06118	Zm00001d027351	cds	1
mu1050320	UFMu-06425	Zm00001d033931	cds	3
mu1050322	UFMu-06521	Zm00001d032704	utr5	1
mu1050323	UFMu-06499,UFMu-06682	Zm00001d032520	cds	4
mu1050328	UFMu-06407	Zm00001d027751	cds	1
mu1050330	UFMu-06118	Zm00001d044985	intron	1
mu1050332	UFMu-06333	Zm00001d046274	cds	1
mu1050335	UFMu-06425	Zm00001d045784	utr5	1
mu1050338	UFMu-06082	Zm00001d045557	utr5	1
mu1050342	UFMu-06497	Zm00001d048532	cds	1
mu1050344	UFMu-06039	Zm00001d048481	intron	1
mu1050347	UFMu-06477	Zm00001d048165	utr5	1
mu1050348	UFMu-06498	Zm00001d047911	utr5	1
mu1050350	UFMu-06453	Zm00001d047632	cds	1
mu1050352	UFMu-06470,UFMu-07533	Zm00001d047497	utr5	1
mu1050353	UFMu-06269	Zm00001d047466	intron	2
mu1050354	UFMu-06496	Zm00001d047397	cds	1
mu1050355	UFMu-06493	Zm00001d047216	utr5	1
mu1050356	UFMu-06118	Zm00001d047126	utr5	1
mu1050358	UFMu-06525	Zm00001d046941	intron	1
mu1050361	UFMu-06479	Zm00001d008455	utr5	1
mu1050364	UFMu-05970	Zm00001d009587	utr5	1
mu1050365	UFMu-06054	Zm00001d009562	utr5	1
mu1050366	UFMu-06526	Zm00001d009517	cds	1
mu1050368	UFMu-06023	Zm00001d008922	utr5	1
mu1050371	UFMu-06520	Zm00001d043806	cds	1
mu1050376	UFMu-06034	Zm00001d011118	cds	1
mu1050377	UFMu-06118	Zm00001d011118	cds	1
mu1050378	UFMu-06341	Zm00001d010728	utr5	1
mu1050381	UFMu-06452	Zm00001d010640	cds	1
mu1050382	UFMu-05985	Zm00001d010497	utr5	1
mu1050391	UFMu-05986	Zm00001d019462	utr5	1
mu1050392	UFMu-06363	Zm00001d019374	cds	1
mu1050393	UFMu-06432	Zm00001d018698	intron	3
mu1050394	UFMu-06132	Zm00001d019219	utr5	1
mu1050397	UFMu-06477	Zm00001d022236	intron	1
mu1050398	UFMu-06405	Zm00001d021946	cds	1
mu1050402_2	UFMu-06196	Zm00001d021777	cds	1
mu1050403	UFMu-06132,UFMu-10623	Zm00001d019091	utr5	1
mu1050405	UFMu-06195	Zm00001d021551	utr5	1
mu1050406	UFMu-06408	Zm00001d021484	utr3	1
mu1050406	UFMu-06408	Zm00001d021485	utr3	1
